ID,ROSCOE-SA,ROSCOE-SS,ROSCOE-LI,ROSCOE-LC,overall
0,0.6799620163504002,0.5762490034103394,0.00310850143432615,0.31742126487300043,0.39418519651701656
1,0.6635774909278617,0.559472701822718,0.0018192827701567999,0.3592267013602877,0.39602404422025606
2,0.6742256997846395,0.5627448670566082,0.0092769861221313,0.38120423938593084,0.4068629480873275
3,0.694071100424068,0.5549115998049577,0.0120196342468261,0.3691853698504218,0.4075469260815684
4,0.6638224320130103,0.5668066044648489,0.0022237598896026004,0.40796265307704277,0.41020386236112616
5,0.646091846389447,0.5713547232250372,0.0022047758102416498,0.37419912780706144,0.3984626183079468
6,0.6503220599772827,0.5597723632430037,0.00458344817161555,0.35064901708016405,0.3913317221180165
7,0.6503085751605998,0.5723218598092595,0.006332010030746401,0.3742607283586533,0.4008057933398148
8,0.6511369982740723,0.548699035619696,0.025941282510757398,0.3472890513998213,0.39326659195108676
9,0.6520334100536977,0.5709495783473054,0.0011189579963683499,0.36400015036988786,0.3970255241918149
10,0.6759858789113554,0.567357126933833,0.01787215471267695,0.3092105038522511,0.3926064161025291
11,0.6602461357073194,0.5753187363346418,0.005137264728546051,0.40094499939105627,0.4104117840403909
12,0.6445494053265307,0.5556283433300754,0.014371901750564499,0.3915902975611888,0.4015349869920899
13,0.6502489026450524,0.5613447477420171,0.00181141495704645,0.38204444860707737,0.3988623784877984
14,0.6432446640831169,0.5569850783795118,0.00810632109642025,0.3678251045282165,0.39404029202181634
15,0.6616801937736536,0.5651563399781784,0.18559822440147394,0.3674091308876863,0.4449609722602481
16,0.6692734703682539,0.5621882130702337,0.11071929335594169,0.4194154034556455,0.4403990950625187
17,0.6571990125124885,0.5678130518645048,0.0063057839870452,0.32460329472026234,0.38898028577107524
18,0.6572369576401956,0.56317058003818,0.0071138143539428,0.3379522026438713,0.39136838866904744
19,0.6640281086801443,0.569512547304233,0.00977233052253715,0.3767495178043849,0.4050156260778248
20,0.6873203355275186,0.5921002874771754,0.0019172132015228,0.34320145028870097,0.4061348216237295
21,0.6742482615149814,0.5715210164586703,0.0038796663284301498,0.28670503370967826,0.38408849450294
22,0.6789505205434222,0.5626671741095682,0.00268080830574035,0.37714706285674643,0.4053613914538693
23,0.6565887920424529,0.5579002384717265,0.0037243068218230503,0.35464478476774486,0.3932145305259369
24,0.658437852013262,0.5578049034035454,0.00678732991218565,0.3672192472517092,0.39756233314517553
25,0.6649262835484933,0.5779175385832787,0.0025220215320587,0.32322343855566965,0.39214732055487506
26,0.6595968953507689,0.5757144416371981,0.0018418729305266501,0.38258138747199244,0.40493364934762155
27,0.658273998005309,0.5536646551142136,0.00129187107086175,0.395575394502724,0.4022014796732771
28,0.6714555434658214,0.5625846926122903,0.0026938319206237,0.381751949609502,0.40462150440205935
29,0.6622779702999644,0.581761601070563,0.00238958001136775,0.3487978433729583,0.39880674868871335
30,0.6861926152222892,0.5796483121812344,0.00238958001136775,0.23313855534735234,0.37534226569056095
31,0.634432060218393,0.5700263287872076,0.1928373575210571,0.4350213262587618,0.4580792681963549
32,0.6840987078457715,0.5758996944253644,0.0035390257835387997,0.44038189569246233,0.42597983093678427
33,0.6691331954912851,0.5600311911354462,0.01837092638015745,0.38097793901463445,0.4071283130053808
34,0.6840028949087716,0.5761811683575312,0.0091275870800018,0.3431817966550157,0.4031233617503301
35,0.6774579366113531,0.572186556023856,0.028505146503448448,0.4139152378547232,0.4230162192483452
36,0.6666129178691681,0.5793824773281812,0.0060885548591613,0.34633603440795035,0.3996049961161152
37,0.654488849783734,0.5536265391856432,0.0033077895641326497,0.3458234004758328,0.3893116447523357
38,0.6425163039055031,0.5554025266319513,0.0018013417720794001,0.4438064320128302,0.41088165108059105
39,0.6531595649542736,0.5580830206163228,0.00236362218856805,0.4478108894039144,0.4153542742907697
avg,0.6633353964531432,0.5665465366347539,0.018337414413690512,0.36785960766312037,0.4040197387911769
